635nm,520nm,405nm,jihe,cat,real
30.8908,30.8831,30.8668,30.9939,0,30.9984
29.4867,29.4675,29.4459,29.96,1,30.0002
29.4715,29.452,29.4279,29.972,1,30.011
29.5093,29.4911,29.4701,29.984,1,30.018
29.5117,29.492,29.4671,29.993,1,30.0297
29.5192,29.4999,29.4797,30.0024,1,30.0413
29.5111,29.4915,29.4697,30.0084,1,30.0506
29.5389,29.519,29.4944,30.0156,1,30.06
29.5582,29.5395,29.5171,30.0327,1,30.0697
29.5416,29.5217,29.4998,30.0368,1,30.0792
29.5613,29.542,29.5181,30.0497,1,30.093
29.5872,29.569,29.5483,30.0645,1,30.0995
29.5751,29.5565,29.5355,30.0674,1,30.1069
29.6005,29.5818,29.5581,30.0801,1,30.1174
29.609,29.5896,29.5663,30.0917,1,30.1304
29.6032,29.5837,29.5602,30.0924,1,30.1395
29.6242,29.6057,29.5848,30.1035,1,30.1521
29.6351,29.617,29.5942,30.1227,1,30.1584
29.6347,29.6163,29.5927,30.1283,1,30.1724
29.6404,29.6205,29.5979,30.1397,1,30.1806
29.6449,29.6252,29.6046,30.1507,1,30.1911
29.6771,29.6577,29.6346,30.1643,1,30.1976
29.6963,29.6779,29.6546,30.1675,1,30.2106
29.6908,29.671,29.6494,30.1834,1,30.2221
29.6909,29.6722,29.6488,30.192,1,30.2274
29.7128,29.6946,29.6704,30.2049,1,30.2397
29.7113,29.6923,29.6717,30.2087,1,30.2516
29.7246,29.7062,29.6826,30.2234,1,30.2597
29.7336,29.7149,29.6932,30.2303,1,30.2685
29.7318,29.7138,29.6916,30.2338,1,30.2803
29.7569,29.7382,29.7172,30.2467,1,30.2892
29.7979,29.7799,29.7569,30.2556,1,30.3013
29.8048,29.7859,29.7629,30.2633,1,30.3104
29.7717,29.752,29.7287,30.2747,1,30.323
29.813,29.7941,29.772,30.284,1,30.3302
29.7975,29.7793,29.7588,30.2983,1,30.3409
29.8456,29.826,29.8023,30.3053,1,30.3498
29.8505,29.8314,29.8111,30.3174,1,30.3581
29.8456,29.8272,29.8053,30.3249,1,30.3696
29.8652,29.8472,29.8258,30.3416,1,30.3799
29.8677,29.8496,29.8247,30.348,1,30.3907
29.8513,29.8324,29.8108,30.3555,1,30.4005
29.9077,29.8883,29.865,30.3653,1,30.4096
29.8903,29.8706,29.8463,30.3762,1,30.4208
29.89,29.8713,29.8499,30.3848,1,30.4321
29.9018,29.8835,29.8597,30.3953,1,30.4429
29.9307,29.9127,29.892,30.4021,1,30.4496
29.9232,29.905,29.8807,30.4145,1,30.4603
29.9288,29.909,29.8854,30.4327,1,30.4695
29.9621,29.9423,29.9198,30.4388,1,30.48
29.9793,29.9604,29.9376,30.4486,1,30.4886
29.9988,29.9805,29.9603,30.4547,1,30.498
29.9807,29.9624,29.939,30.4705,1,30.5098
30.0056,29.9866,29.9646,30.4745,1,30.5209
29.9848,29.9666,29.9465,30.4917,1,30.5298
29.999,29.9795,29.9574,30.5009,1,30.5391
30.0236,30.0053,29.9819,30.5045,1,30.551
30.0295,30.0096,29.9849,30.5171,1,30.5584
30.0419,30.0222,29.9978,30.5255,1,30.5718
30.0466,30.0284,30.0051,30.5406,1,30.5821
30.0468,30.0279,30.0066,30.5543,1,30.5888
30.0691,30.051,30.0308,30.5552,1,30.6028
30.0804,30.0623,30.0378,30.5645,1,30.6112
30.1182,30.0999,30.0788,30.5844,1,30.6216
30.1037,30.0841,30.0631,30.5901,1,30.6308
30.1304,30.1114,30.0894,30.592,1,30.6377
30.1339,30.1144,30.0902,30.6125,1,30.651
30.1323,30.114,30.0926,30.6221,1,30.658
30.1594,30.141,30.1204,30.6244,1,30.6714
30.1557,30.1375,30.1136,30.6377,1,30.6798
30.1761,30.1562,30.1356,30.6469,1,30.6929
30.1823,30.1633,30.142,30.6616,1,30.7018
30.1991,30.1807,30.158,30.6682,1,30.7098
30.1907,30.1722,30.1473,30.6725,1,30.7174
30.2134,30.1949,30.1724,30.692,1,30.7288
30.1916,30.1736,30.1508,30.6926,1,30.7406
30.248,30.2289,30.2083,30.7121,1,30.7466
30.2416,30.2225,30.1975,30.717,1,30.7627
30.2461,30.2262,30.2026,30.7252,1,30.7732
30.2506,30.2314,30.2081,30.7335,1,30.7786
30.2519,30.2333,30.2088,30.7471,1,30.7922
30.2904,30.2708,30.2496,30.76,1,30.8017
30.2647,30.2465,30.2233,30.7743,1,30.8127
30.3197,30.3012,30.2806,30.7849,1,30.8205
30.2838,30.2652,30.2412,30.7829,1,30.8326
30.2943,30.2749,30.2513,30.7951,1,30.8377
30.3494,30.3297,30.3055,30.8133,1,30.8501
30.3266,30.307,30.2846,30.8136,1,30.8575
30.3348,30.3148,30.2938,30.8312,1,30.8722
30.3729,30.3534,30.3296,30.8329,1,30.8784
30.3464,30.3267,30.3061,30.8487,1,30.8904
30.3632,30.3432,30.3218,30.8594,1,30.9009
30.3938,30.374,30.3527,30.8692,1,30.9106
30.3805,30.3616,30.3413,30.8771,1,30.9211
30.4281,30.41,30.3859,30.8899,1,30.9278
30.4183,30.3987,30.3764,30.8968,1,30.9388
30.4358,30.4176,30.3932,30.9118,1,30.9478
30.4406,30.4214,30.3984,30.9133,1,30.9596
30.4676,30.4492,30.4282,30.9302,1,30.9716
30.4431,30.4237,30.4033,30.9431,1,30.9794
30.4821,30.4634,30.4398,30.9466,1,30.9894
30.4514,30.4316,30.4103,30.9535,1,30.9998
29.5487,29.5247,29.4885,29.9629,1,29.9997
29.534,29.5108,29.4752,29.9703,1,30.0117
29.5425,29.5182,29.4861,29.9778,1,30.0206
29.5603,29.538,29.5044,29.9876,1,30.0275
29.5412,29.5178,29.483,30.0003,1,30.0401
29.5684,29.5456,29.5134,30.0116,1,30.049
29.598,29.5733,29.5401,30.0168,1,30.0589
29.5871,29.5663,29.5315,30.0286,1,30.067
29.6179,29.5974,29.5595,30.0418,1,30.0831
29.5995,29.5778,29.5419,30.0459,1,30.0894
29.6442,29.6203,29.5831,30.0589,1,30.0997
29.6477,29.6265,29.591,30.0732,1,30.1099
29.6571,29.636,29.6004,30.0782,1,30.1179
29.639,29.6141,29.5769,30.0871,1,30.1315
29.6665,29.6422,29.6047,30.1045,1,30.1389
29.6885,29.667,29.6334,30.1059,1,30.1495
29.69,29.6663,29.6311,30.1212,1,30.1573
29.6995,29.6754,29.6412,30.1286,1,30.172
29.707,29.6859,29.6501,30.1418,1,30.1822
29.7179,29.6937,29.6614,30.1486,1,30.1884
29.7007,29.6784,29.6434,30.159,1,30.1998
29.7436,29.7207,29.6833,30.1684,1,30.2113
29.7236,29.6988,29.6663,30.1801,1,30.2229
29.7415,29.7189,29.6852,30.1928,1,30.2298
29.7725,29.7479,29.7111,30.2034,1,30.2419
29.7977,29.7761,29.7401,30.2071,1,30.2527
29.8074,29.7853,29.7489,30.2248,1,30.2606
29.8192,29.7974,29.7625,30.2254,1,30.267
29.8212,29.8007,29.7655,30.2392,1,30.2821
29.7977,29.7753,29.7384,30.2545,1,30.292
29.8331,29.8098,29.776,30.2578,1,30.3007
29.8581,29.8361,29.8001,30.272,1,30.3111
29.8279,29.8053,29.7706,30.282,1,30.3237
29.8473,29.8232,29.787,30.2942,1,30.3326
29.8748,29.8538,29.8194,30.3016,1,30.3419
29.8869,29.863,29.8251,30.3052,1,30.3494
29.9098,29.8871,29.8528,30.3246,1,30.3607
29.8748,29.8518,29.8173,30.3303,1,30.3694
29.9119,29.8872,29.8506,30.3403,1,30.3802
29.9301,29.9083,29.8733,30.3468,1,30.3904
29.9148,29.8938,29.8567,30.3606,1,30.3989
29.9304,29.9074,29.8696,30.3737,1,30.4087
29.9551,29.9342,29.897,30.3815,1,30.4225
29.9796,29.956,29.9195,30.3883,1,30.4307
29.9415,29.9171,29.8811,30.4048,1,30.443
29.956,29.9348,29.8972,30.4142,1,30.4488
29.9716,29.951,29.9154,30.419,1,30.4599
30.0119,29.9883,29.9503,30.4307,1,30.4689
30.0047,29.9838,29.9479,30.4373,1,30.478
30.0146,29.9898,29.9524,30.4507,1,30.4877
30.0284,30.0056,29.9736,30.4608,1,30.4966
30.0298,30.0071,29.9728,30.4679,1,30.5093
30.0226,29.9999,29.9677,30.4808,1,30.5197
30.0719,30.0494,30.013,30.4859,1,30.5297
30.0759,30.0543,30.0216,30.4985,1,30.5393
30.0537,30.0322,29.9984,30.505,1,30.5499
30.0685,30.0446,30.0095,30.5179,1,30.5596
30.1077,30.0848,30.0471,30.5317,1,30.5718
30.0992,30.0778,30.0446,30.541,1,30.5788
30.1015,30.0804,30.0458,30.5528,1,30.5887
30.103,30.0811,30.0487,30.5621,1,30.6024
30.1392,30.1183,30.0815,30.5728,1,30.6076
30.1686,30.1461,30.1101,30.5795,1,30.6195
30.1555,30.1332,30.0992,30.5923,1,30.63
30.1739,30.1529,30.1205,30.6042,1,30.6404
30.197,30.1742,30.141,30.6076,1,30.6518
30.2045,30.1841,30.1482,30.6185,1,30.6577
30.1711,30.1476,30.1145,30.6272,1,30.6715
30.1856,30.1627,30.127,30.644,1,30.6824
30.2088,30.1887,30.1512,30.65,1,30.6919
30.2054,30.1811,30.144,30.6571,1,30.7009
30.2297,30.2072,30.1709,30.6701,1,30.7133
30.2565,30.2333,30.1964,30.6787,1,30.7186
30.2776,30.2562,30.2229,30.6929,1,30.7321
30.2806,30.2564,30.2202,30.6994,1,30.7423
30.273,30.2484,30.2105,30.7107,1,30.7472
30.2867,30.2665,30.2323,30.7231,1,30.7632
30.3041,30.2826,30.2493,30.726,1,30.7723
30.2881,30.2672,30.2316,30.741,1,30.7805
30.2949,30.271,30.2348,30.7467,1,30.7918
30.3193,30.2984,30.2623,30.7594,1,30.8025
30.339,30.3173,30.2816,30.7702,1,30.8109
30.3294,30.3054,30.2688,30.785,1,30.8201
30.3762,30.3523,30.3187,30.7912,1,30.8306
30.3435,30.3202,30.2875,30.8039,1,30.8388
30.352,30.3276,30.2946,30.8065,1,30.8518
30.3796,30.3595,30.3252,30.8151,1,30.8586
30.4152,30.3915,30.3566,30.8294,1,30.8725
30.3856,30.3643,30.3285,30.8419,1,30.8811
30.4396,30.419,30.3856,30.8472,1,30.8906
30.4214,30.3983,30.3651,30.8598,1,30.8993
30.4189,30.3941,30.3576,30.8651,1,30.911
30.4311,30.4083,30.3708,30.8808,1,30.92
30.46,30.4383,30.4055,30.8899,1,30.9297
30.4851,30.4604,30.4284,30.8975,1,30.9413
30.4502,30.4296,30.3945,30.9118,1,30.9475
30.481,30.4571,30.4216,30.9157,1,30.9597
30.506,30.4857,30.4522,30.9283,1,30.9712
30.4899,30.4683,30.4321,30.9353,1,30.9794
30.508,30.4848,30.451,30.947,1,30.9889
30.5137,30.4922,30.4578,30.955,1,30.9998
29.6352,29.618,29.5942,29.9745,1,30.0003
29.5995,29.5834,29.5571,29.9848,1,30.0116
29.6396,29.6233,29.5997,29.9993,1,30.0195
29.643,29.6256,29.6019,30.0087,1,30.0282
29.6198,29.6028,29.576,30.0174,1,30.0417
29.686,29.6684,29.6433,30.023,1,30.0497
29.6261,29.6092,29.5855,30.0385,1,30.0599
29.6501,29.6345,29.6113,30.0487,1,30.0686
29.6834,29.6677,29.6416,30.0565,1,30.0811
29.6797,29.6624,29.6417,30.0641,1,30.091
29.7422,29.7263,29.7052,30.074,1,30.0991
29.6783,29.6623,29.6353,30.0842,1,30.1085
29.7026,29.686,29.6635,30.0968,1,30.1181
29.6977,29.682,29.6549,30.1054,1,30.1314
29.6933,29.6778,29.6508,30.1163,1,30.1398
29.7158,29.7005,29.6774,30.1261,1,30.1507
29.7978,29.7823,29.7561,30.1332,1,30.1588
29.7956,29.7776,29.7547,30.1497,1,30.1712
29.7333,29.7157,29.6918,30.1555,1,30.1804
29.7735,29.7558,29.7305,30.1659,1,30.1892
29.7953,29.779,29.7551,30.1785,1,30.198
29.7622,29.7463,29.7202,30.1853,1,30.2107
29.8545,29.8377,29.8113,30.1998,1,30.2214
29.8082,29.7928,29.7716,30.2092,1,30.2294
29.8677,29.8517,29.8298,30.2173,1,30.2406
29.8897,29.8742,29.8528,30.2296,1,30.2509
29.8275,29.811,29.7879,30.2321,1,30.259
29.8997,29.8823,29.8553,30.2443,1,30.269
29.8619,29.8461,29.8246,30.2579,1,30.2817
29.8769,29.86,29.8339,30.2626,1,30.2912
29.9144,29.8993,29.8781,30.2793,1,30.302
29.96,29.9446,29.9187,30.2849,1,30.3102
29.9666,29.9492,29.9244,30.2996,1,30.3219
29.9768,29.9614,29.94,30.3058,1,30.3316
29.9617,29.9453,29.9236,30.3152,1,30.3415
29.9573,29.9421,29.9164,30.326,1,30.3495
29.9725,29.955,29.9283,30.337,1,30.3599
29.943,29.9268,29.899,30.3451,1,30.3708
29.9976,29.9816,29.9557,30.3598,1,30.379
30.0161,29.9994,29.9738,30.3624,1,30.3903
30.0444,30.0274,30.0008,30.3755,1,30.3998
30.0459,30.0283,30.0018,30.3859,1,30.4091
30.0488,30.0335,30.0087,30.3931,1,30.4213
29.9954,29.9778,29.9501,30.4059,1,30.4306
30.0821,30.0668,30.0406,30.4192,1,30.4417
30.0612,30.0452,30.0192,30.4296,1,30.4497
30.0417,30.0239,29.996,30.4355,1,30.4617
30.038,30.0208,29.9931,30.4435,1,30.4681
30.1237,30.1076,30.0819,30.4561,1,30.4787
30.1099,30.0942,30.0665,30.4674,1,30.4881
30.124,30.1084,30.0865,30.478,1,30.4984
30.1142,30.0973,30.0754,30.4891,1,30.5113
30.0732,30.0578,30.0351,30.499,1,30.5205
30.1078,30.0914,30.0676,30.509,1,30.5291
30.1287,30.113,30.0907,30.5166,1,30.5398
30.1988,30.1828,30.1628,30.5295,1,30.5508
30.1671,30.1503,30.1297,30.5379,1,30.558
30.1205,30.103,30.0821,30.5439,1,30.5706
30.1782,30.1618,30.1355,30.5523,1,30.5801
30.2213,30.2055,30.1853,30.5644,1,30.5901
30.1729,30.1559,30.1357,30.58,1,30.6018
30.191,30.1742,30.1476,30.5843,1,30.6093
30.1727,30.1554,30.1299,30.5984,1,30.6213
30.2165,30.1998,30.1725,30.6036,1,30.6306
30.2045,30.1875,30.1614,30.6143,1,30.6394
30.2622,30.2466,30.2229,30.6283,1,30.6507
30.2851,30.2683,30.247,30.638,1,30.659
30.2844,30.2693,30.2478,30.6427,1,30.6709
30.295,30.2781,30.2578,30.6538,1,30.6818
30.3064,30.2889,30.2666,30.6634,1,30.6918
30.274,30.259,30.2371,30.6745,1,30.7011
30.3578,30.3413,30.3183,30.6829,1,30.7118
30.3184,30.3012,30.2745,30.7,1,30.7185
30.3488,30.3322,30.3104,30.703,1,30.7305
30.3604,30.3452,30.3233,30.7152,1,30.7418
30.336,30.3203,30.293,30.7235,1,30.7484
30.3343,30.3191,30.2976,30.7328,1,30.7616
30.379,30.3626,30.3413,30.7441,1,30.7717
30.4155,30.3996,30.3783,30.7525,1,30.7791
30.4189,30.4036,30.3768,30.7684,1,30.7915
30.3578,30.3405,30.3129,30.7744,1,30.8016
30.4537,30.4372,30.4162,30.7845,1,30.8117
30.4224,30.4053,30.3809,30.7971,1,30.8196
30.4131,30.3968,30.3733,30.806,1,30.8313
30.4623,30.4471,30.4236,30.8196,1,30.8387
30.4058,30.3891,30.3687,30.8293,1,30.8516
30.4443,30.427,30.4016,30.8331,1,30.8593
30.4401,30.4238,30.3992,30.8451,1,30.8706
30.5068,30.4912,30.4686,30.8521,1,30.8803
30.5,30.4822,30.4617,30.8678,1,30.8915
30.4597,30.4441,30.4183,30.8723,1,30.9012
30.5369,30.5201,30.4946,30.8834,1,30.9112
30.517,30.4996,30.4752,30.8929,1,30.9206
30.5032,30.4879,30.461,30.9049,1,30.9283
30.575,30.5582,30.5354,30.9188,1,30.9401
30.5358,30.5205,30.5,30.9286,1,30.9487
30.5465,30.5285,30.5006,30.9385,1,30.9593
30.5833,30.5676,30.543,30.9486,1,30.9711
30.5464,30.5299,30.5049,30.9538,1,30.981
30.5639,30.5484,30.5244,30.966,1,30.9892
30.6095,30.5923,30.5702,30.974,1,30.9992
